,url,location,bed,bath,area,price
16814,https://www.rumah.com/listing-properti/dijual-setu-residence-serpong-oleh-eri-kusmeri-21697243,"Serpong, Tangerang Selatan, Banten",2.0,1.0,42 m²,490 jt
3045,https://www.rumah.com/listing-properti/dijual-jual-murah-rumah-cluster-gading-serpong-bohemia-8x15-shm-oleh-maria-21585445,"Jl. Bohemia Raya No.6, Curug Sangereng, Gading Serpong, Tangerang Selatan, Banten",3.0,3.0,150 m²,"2,15 M"
8910,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-sektor-9-puri-bintaro-10181-oleh-wanti-21788287,"Bintaro, Tangerang Selatan, Banten",5.0,3.0,160 m²,"2,8 M"
11963,https://www.rumah.com/listing-properti/dijual-gading-serpong-oleh-hendrik-winata-21232324,"Gading Serpong, Tangerang Selatan, Banten",4.0,3.0,432 m²,"12,9704 M"
14903,https://www.rumah.com/listing-properti/dijual-rumah-murah-dijual-bsd-city-cluster-sevilla-oleh-salman-farisi-21734569,"Jalan Sevilla Bsd Serpong Tangerang, BSD, Tangerang Selatan, Banten",3.0,1.0,80 m²,"1,45 M"
20427,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-di-cluster-green-gardena-bintaro-sawah-baru-ciputat-tangsel-oleh-titin-zae-21672630,"Ciputat, Tangerang Selatan, Banten",2.0,2.0,63 m²,"1,328 M"
19566,https://www.rumah.com/listing-properti/dijual-bsd-oleh-arif-21688070,"Bsd, BSD, Tangerang Selatan, Banten",4.0,4.0,393 m²,"7,2 M"
14842,https://www.rumah.com/listing-properti/dijual-pamulang-tangsel-oleh-alia-nurfallah-21735525,"Jl siliwangi pamulang benda, Pamulang, Tangerang Selatan, Banten",3.0,2.0,90 m²,"1,2 M"
19735,https://www.rumah.com/listing-properti/dijual-rumah-dijual-cluster-strozzi-summarecon-serpong-symphonia-cluster-oleh-rony-ming-21686823,"Medang, Kabupaten Tangerang, Banten, BSD, Tangerang Selatan, Banten",3.0,2.0,92 m²,"2,4 M"
20815,https://www.rumah.com/listing-properti/dijual-sutera-onyx-oleh-juliastini-siswojo-20629310,"Alam Sutera, Tangerang Selatan, Banten",4.0,4.0,595 m²,8 M
3080,https://www.rumah.com/listing-properti/dijual-alesha-pondok-cabe-pamulang-tangerang-selatan-wa-085773713808-oleh-ateng-hidayat-21811948,"Jl. Lombok No. 6 Pondok Cabe Ilir, Pamulang, Tangerang Selatan, Banten",2.0,2.0,60 m²,975 jt
10447,https://www.rumah.com/listing-properti/dijual-rumah-modern-dengan-taman-cantik-dalam-komplek-di-bintaro-oleh-ine-20263117,"Bintaro, Bintaro, Tangerang Selatan, Banten",4.0,3.0,193 m²,"6,3 M"
10439,https://www.rumah.com/listing-properti/dijual-kebayoran-bintaro-oleh-wira-mohamad-20375521,"Kebayoran Residence, Bintaro, Tangerang Selatan, Banten",4.0,3.0,240 m²,"6,5 M"
11337,https://www.rumah.com/listing-properti/dijual-hunian-bagus-nyaman-posisi-hook-strategis-di-kebayoran-residence-oleh-santi-19841541,"Bintaro Sektor 7, Bintaro, Tangerang Selatan, Banten",6.0,4.0,318 m²,7 M
9858,https://www.rumah.com/listing-properti/dijual-taman-tirta-golf-bsd-oleh-eunice-21775254,"Taman Tirta Golf, BSD, Tangerang Selatan, Banten",6.0,5.0,500 m²,"4,5 M"
26287,https://www.rumah.com/listing-properti/dijual-heron-the-springs-summarecon-gading-serpong-oleh-ari-kurniawan-sepriansyah-21628618,"Gading serpong 081385153957, Gading Serpong, Tangerang Selatan, Banten",4.0,3.0,220 m²,"5,2 M"
1418,https://www.rumah.com/listing-properti/dijual-pamulang-heritage-cukup-5-juta-sudah-dapat-rumah-2-lantai-oleh-arman-afandy-21821761,"jalan oscar raya, Ciputat, Tangerang Selatan, Banten",3.0,1.0,52 m²,800 jt
573,https://www.rumah.com/listing-properti/dijual-dijual-rumah-hoek-bagus-siap-huni-di-bintaro-sektor-9-tangerang-selatan-oleh-indrawaty-h-19803934,"Bintaro, Tangerang Selatan, Banten",3.0,2.0,120 m²,"2,7 M"
28525,https://www.rumah.com/listing-properti/dijual-rumah-dijual-cepat-di-pamulang-park-siap-huni-harga-nego-oleh-irfan-fahreza-21589568,"Pamulang Park, Pamulang, Tangerang Selatan, Banten",2.0,1.0,60 m²,960 jt
25578,https://www.rumah.com/listing-properti/dijual-rumah-mewah-dalam-cluster-dekat-tol-parigi-dan-stasiun-sudimara-oleh-adin-rohmadin-21635918,"Jl haji sarmah, Bintaro, Tangerang Selatan, Banten",3.0,3.0,215 m²,"3,3 M"
23379,https://www.rumah.com/listing-properti/dijual-virginia-village-gading-serpong-dijual-rumah-full-furnished-oleh-randy-21648983,"Gading Serpong Tangerang, Serpong, Tangerang Selatan, Banten",1.0,2.0,60 m²,"1,3 M"
