bed,bath,area,price,bintaro,ciputat,pamulang,raya,jl,sutera,cluster,SEKTOR,JAYA,SERPONG,LANTAI,DEKAT,MURAH
3.0,3.0,66,625000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.0,5.0,650,12500000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2.0,1.0,41,800000000.0,0,0,0,0,0,0,0,0,0,1,0,1,0
8.0,4.0,350,9500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,120,2250000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,180,2650000000.0,1,0,0,0,0,0,0,1,0,0,0,0,1
5.0,4.0,128,1750000000.0,1,0,0,0,0,0,0,0,0,0,0,1,0
2.0,1.0,36,499000000.0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,37,760000000.0,0,1,0,0,1,0,0,0,0,0,0,0,0
4.0,2.0,119,3200000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,4.0,200,5500000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
2.0,2.0,62,1075000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,3.0,100,2400000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
4.0,5.0,225,1800000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,92,1300000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,342,10100000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,1.0,36,390000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
10.0,10.0,400,6500000000.0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.0,3.0,130,1875000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,4.0,140,2900000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,70,1200000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,4.0,250,3500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,150,3500000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.0,1.0,45,625000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,244,4990000000.0,1,0,0,0,0,0,0,0,0,0,0,1,0
4.0,2.0,180,3400000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0
4.0,4.0,125,2200000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,30,465000000.0,0,0,0,1,1,0,0,0,0,0,0,0,0
2.0,2.0,85,1332450000.0,1,1,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,107,2390000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
6.0,6.0,250,5000000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,1.0,90,4200000000.0,0,0,0,0,0,1,1,0,0,0,0,0,0
4.0,3.0,85,2100000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,508,5000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,1
